480,300,-45
490,300,-45
500,300,-45
510,300,-45
520,300,-45
530,300,-45
540,300,-45
550,300,-45
560,300,-45
570,300,-45
580,300,-45
590,300,-45
600,300,-45
480,315,-45
490,315,-45
500,315,-45
510,315,-45
520,315,-45
530,315,-45
540,315,-45
550,315,-45
560,315,-45
570,315,-45
580,315,-45
590,315,-45
600,315,-45
480,330,-45
490,330,-45
500,330,-45
510,330,-45
520,330,-45
530,330,-45
540,330,-45
550,330,-45
560,330,-45
570,330,-45
580,330,-45
590,330,-45
600,330,-45
480,345,-45
490,345,-45
500,345,-45
510,345,-45
520,345,-45
530,345,-45
540,345,-45
550,345,-45
560,345,-45
570,345,-45
580,345,-45
590,345,-45
600,345,-45
480,360,-45
490,360,-45
500,360,-45
510,360,-45
520,360,-45
530,360,-45
540,360,-45
550,360,-45
560,360,-45
570,360,-45
580,360,-45
590,360,-45
600,360,-45
480,375,-45
490,375,-45
500,375,-45
510,375,-45
520,375,-45
530,375,-45
540,375,-45
550,375,-45
560,375,-45
570,375,-45
580,375,-45
590,375,-45
600,375,-45
480,390,-45
490,390,-45
500,390,-45
510,390,-45
520,390,-45
530,390,-45
540,390,-45
550,390,-45
560,390,-45
570,390,-45
580,390,-45
590,390,-45
600,390,-45
480,405,-45
490,405,-45
500,405,-45
510,405,-45
520,405,-45
530,405,-45
540,405,-45
550,405,-45
560,405,-45
570,405,-45
580,405,-45
590,405,-45
600,405,-45
480,415,-45
490,415,-45
500,415,-45
510,415,-45
520,415,-45
530,415,-45
540,415,-45
550,415,-45
560,415,-45
570,415,-45
580,415,-45
590,415,-45
600,415,-45
